#,default,МІНІМУМ,НИЗЬКО,СЕРЕДНЬО,ВИСОКО,МАКСИМУМ,,,,,,,,,,,
#,tax,75,,,,,,,,,,,,,,,
#,idcards,ДОБРОВІЛЬНО,ПОШИРЕНО,ОБОВ'ЯЗКОВО,БІОМЕТРІЯ,ПРИМУС,,,,,,,,,,,
#,speedcameras,ВИПРОБУВАННЯ, АВАРІЙНІ МІСЦЯ, БІЛЯ ШКІЛ, ЖИТЛОВІ РАЙОНИ, РОЗПОВСЮДЖЕНІ, ВСЮДИ,,,,,,,,,,
#,militaryspending,ТІЛЬКИ ЦЕРЕМОНІАЛЬНІ, РЕЗЕРВІСТИ, ЛЕГКА ОБОРОНА, ДОБРЕ НАВЧЕНІ, ВИСОКОКВАЛІФІКОВАНІ, ПЕРЕВАЖНА СИЛА,,,,,,,,,,
#,armedpolice,СПЕЦІАЛІСТИ, У КОЖНОМУ ВІДДІЛІ, ШИРОКО РОЗПОВСЮДЖЕНІ, КОЖЕН ОФІЦЕР ОЗБРОЄНИЙ, ПІСТОЛЕТИ-КУЛЕМЕТИ,,,,,,,,,,,
#,cctv,ТІЛЬКИ МІСЦЯ ЗЛОЧИНІВ, ЦЕНТРИ МІСТ, ПОШИРЕНІ, НА КОЖНОМУ РОГУ ВУЛИЦІ, СИСТЕМА РОЗПІЗНАВАННЯ ОБЛИЧЧЯ,,,,,,,,,,,
#,universitygrants,ЧАСТКОВІ ВНЕСКИ, ВНЕСКИ, ГРАНТИ ДЛЯ БІДНИХ СТУДЕНТІВ, ЧАСТКОВІ ГРАНТИ, ГРАНТИ ДЛЯ ВСІХ, ЩЕДРІ ГРАНТИ,,,,,,,,,,
#,marriedtax,МАЛИЙ, ВИГІДНИЙ, СТИМУЛЮЮЧИЙ,,,,,,,,,,,,,
#,gunlaws,БЕЗ ОБМЕЖЕНЬ, ЗАБОРОНА КУЛЕМЕТІВ, ЗАБОРОНА АВТОМАТІВ, ПОТРІБНА ЛІЦЕНЗІЯ, ЛІЦЕНЗІЯ ТА МІНІМАЛЬНИЙ ВІК, СУВОРИЙ КОНТРОЛЬ, ПОВНА ЗАБОРОНА,,,,,,,,,
#,prisons,ПЕРЕПОВНЕНІ КАМЕРИ, СПІЛЬНІ КАМЕРИ, БАЗОВЕ ЗАБЕЗПЕЧЕННЯ, СУЧАСНІ БУДІВЛІ, ПЕРЕДОВІ ТЮРЕМНІ КАМЕРИ,,,,,,,,,,,
#,narcotics,ЗАБОРОНЕНІ, МЕДИЧНИЙ КАННАБІС, ВІКОВІ ОБМЕЖЕННЯ ДЛЯ КАННАБІСУ, ЛЕГАЛІЗАЦІЯ КАННАБІСУ, ЛЕГАЛІЗАЦІЯ ЛСД, ЛЕГАЛІЗАЦІЯ ГЕРОЇНУ, ЛЕГАЛІЗАЦІЯ ВСІХ НАРКОТИКІВ,,,,,,,,,
#,internetcensorship,У КРАЙНІХ ВИПАДКАХ, НА ЗАПИТ ПОЛІЦІЇ, ДЕЯКІ САЙТИ БЛОКУЮТЬСЯ, ВЕСЬ ТРАФІК МОНІТОРИТЬСЯ,,,,,,,,,,,,
#,gambling,ОБМЕЖЕНІ СТАВКИ, ВІКОВІ ОБМЕЖЕННЯ, БЕЗ ОБМЕЖЕНЬ СТАВОК, БЕЗ ОБМЕЖЕНЬ,,,,,,,,,,,,,
#,schoolprayers,НА ПРОХАННЯ БАТЬКІВ, ЗА ВИБОРОМ, ОДИН РАЗ НА ТИЖДЕНЬ, ЩОДНЯ, ДВІЧІ НА ДЕНЬ,,,,,,,,,,,
#,pollutioncontrols,МІНІМАЛЬНИЙ МОНІТОРИНГ, РОЗШИРЕНИЙ МОНІТОРИНГ, ЦІЛІ УРЯДУ, ОБМЕЖЕННЯ ТА ШТРАФИ, СУТТЄВІ ШТРАФИ,,,,,,,,,,,
#,deathpenalty,ТІЛЬКИ МАСОВІ ВБИВЦІ, ЗА ВБИВСТВО, ВБИВСТВО І ЗГВАЛТУВАННЯ, ЗА НАСИЛЬНИЦЬКІ ЗЛОЧИНИ, ЗА СЕРЙОЗНІ ЗЛОЧИНИ, ЗА БІЛЬШІСТЬ ЗЛОЧИНІВ,,,,,,,,,,
#,jurytrial,У ВИНЯТКОВИХ ВИПАДКАХ, У СЕРЙОЗНИХ ВИПАДКАХ, ЗА ПОТРЕБОЮ, ШИРОКО, УНІВЕРСАЛЬНО,,,,,,,,,,,
#,nationalservice,БАЗОВЕ НАВЧАННЯ, 3 МІСЯЦІ ОБСЛУГОВУВАННЯ, 6 МІСЯЦІВ ОБСЛУГОВУВАННЯ, 1 РІК ОБСЛУГОВУВАННЯ, ПЕРІОДИЧНЕ ОБСЛУГОВУВАННЯ,,,,,,,,,,,
#,organdonation,ЗА ЗАПИТОМ, ЯКЩО ЗГОДУ ДАЄ НАЙБЛИЖЧИЙ РОДИЧ, ПРЕЗУМПЦІЯ ЗГОДИ, УНІВЕРСАЛЬНА (без права відмови),,,,,,,,,,,,
#,alcohollaw,БЕЗ ОБМЕЖЕНЬ, З 16 РОКІВ, З 18 РОКІВ, З 21 РОКУ, ТІЛЬКИ СЛАБОАЛКОГОЛЬНЕ, СУВОРІ ОБМЕЖЕННЯ,,,,,,,,,,
#,healthservice,"ОПЕРАЦІЇ, ЩО ЗАГРОЖУЮТЬ ЖИТТЮ", ВСІ СЕРЙОЗНІ ОПЕРАЦІЇ, ТІЛЬКИ СЕРЙОЗНІ ЗАХВОРЮВАННЯ, ДЕЯКІ ПРОФІЛАКТИЧНІ ЗАХОДИ, ВІДМІННЕ МЕДИЧНЕ ЗАБЕЗПЕЧЕННЯ,,,,,,,,,,,
#,gatedcommunities,ПРОТИДІЯ, БАЙДУЖИЙ, СТИМУЛЮВАННЯ,,,,,,,,,,,,,
#,labourlaws,В ІНТЕРЕСАХ РОБОТОДАВЦЯ, ЗБАЛАНСОВАНО, В ІНТЕРЕСАХ ПРОФСПІЛОК,,,,,,,,,,,,,
#,intel,КІЛЬКА ШПИГУНІВ, МАЛА ШПИГУНСЬКА АГЕНЦІЯ, ЗНАЧНА ШПИГУНСЬКА АГЕНЦІЯ, ВИСОКОТЕХНОЛОГІЧНА ШПИГУНСЬКА СЛУЖБА, ШПИГУНСЬКА СУПУТНИКОВА МЕРЕЖА,,,,,,,,,,,
#,roadbuilding,НЕОБХІДНЕ ТЕХНІЧНЕ ОБСЛУГОВУВАННЯ, БАЗОВЕ ТЕХНІЧНЕ ОБСЛУГОВУВАННЯ, РЕМОНТ ІСНУЮЧИХ ДОРОГ, ПЕВНЕ РОЗШИРЕННЯ, СУТТЄВЕ РОЗШИРЕННЯ, СУТТЄВА РОЗБУДОВА НОВИХ ДОРОЖНІХ МЕРЕЖ,,,,,,,,,,
#,phonetapping,ЗА РІШЕННЯМ УРЯДУ, ЗА СУДОВИМ РІШЕННЯМ, ЗІ ЗГОДИ НАЧАЛЬНИКА ПОЛІЦІЇ, НА ПРОХАННЯ ПОЛІЦІЇ, ШИРОКЕ ВИКОРИСТАННЯ, УНІВЕРСАЛЬНИЙ МОНІТОРИНГ,,,,,,,,,,
#,detention,72 ГОДИНИ,7 ДНІВ,30 ДНІВ,90 ДНІВ,БЕЗ ОБМЕЖЕННЯ,,,,,,,,,,,
#,creationism,ФУНДАМЕНТАЛІСТ, РЕЛІГІЙНИЙ АКЦЕНТ, НАУКОВИЙ АКЦЕНТ, СВІТСЬКИЙ, АТЕЇСТ,,,,,,,,,,,
#,curfews,ДЛЯ ОСІБ ВІКОМ ДО 16 РОКІВ, У ПЕВНИХ РАЙОНАХ, З 1:00 ДО 3:00, З 0:00 ДО 6:00, З 22:00 ДО 8:00,,, ,,,,,,,,
#,welfarefraud,ГАРЯЧА ЛІНІЯ ДЛЯ ПОВІДОМЛЕНЬ, ІНФОРМАЦІЯ В ПРЕСІ, ІНФОРМАЦІЯ НА ТЕЛЕБАЧЕННІ, АГЕНТИ ПІД ПРИКРИТТЯМ,,,,,,,,,,,,
#,recycling,ПЛАКАТНА КАМПАНІЯ, БАНКИ ДЛЯ ЗБИРАННЯ ПЛЯШОК, ЦЕНТРИ ПЕРЕРОБКИ, ОБМЕЖЕНИЙ ЗБІР ПЕРЕД ДВЕРИМА, УНІВЕРСАЛЬНИЙ ЗБІР ПЕРЕД ДВЕРИМА,,,,,,,,,,,
#,sciencefunding,ПРОБІРКИ, МІКРОСКОПИ, ЕЛЕКТРОННІ МІКРОСКОПИ, ПРИСКОРЮВАЧІ ЧАСТИНОК,,,,,,,,,,,,
#,stateschools,ДЕРЕВ'ЯНІ ШКІЛЬНІ БУДІВЛІ, СПІЛЬНІ ПІДРУЧНИКИ, СУЧАСНІ ПІДРУЧНИКИ, НОУТБУКИ ДЛЯ УЧНІВ,,,,,,,,,,,,
#,bordercontrols,ВИПАДКОВІ ПЕРЕВІРКИ ПАСПОРТІВ, ПЕРЕВІРКИ ПАСПОРТІВ, БІОМЕТРИЧНІ ПЕРЕВІРКИ, ОЗБРОЄНА ОХОРОНА, СКАНУВАННЯ СІТКОВИНИ ОКА,,,,,,,,,,,
#,consumerrights,ОБМЕЖЕНІ ПРАВА, ПРАВО НА ПОВЕРНЕННЯ ТОВАРІВ, АВТОМАТИЧНЕ ПОВЕРНЕННЯ КОШТІВ, ПЕРІОДИ ВІДМОВИ ВІД ТОВАРУ,,,,,,,,,,,,
#,inheritancetax,75,,,,,,,,,,,,,,,
#,maternityleave,ЧЕТВЕРТЬ ЗАРПЛАТИ, ПІВЗАРПЛАТИ, ТРИ ЧВЕРТІ ЗАРПЛАТИ, ПОВНА ЗАРПЛАТА, ПОВНА ЗАРПЛАТА + КОМПЕНСАЦІЯ ЗА ДЕКРЕТНУ ВІДПУСТКУ,,,,,,,,,,,
#,spaceprogram,ТЕЛЕСКОПИ, ВЕЛИКІ ТЕЛЕСКОПИ, МАСИВИ ТЕЛЕСКОПІВ, СУПУТНИКИ, БЕЗПІЛОТНІ ЗОНДИ, БАГАТОРАЗОВІ РАКЕТИ, БАГАТОРАЗОВІ КОСМІЧНІ ЧОВНИ, КОСМІЧНА СТАНЦІЯ,,,,,,,,
#,abortion,ПОВНА ЗАБОРОНА, ЗАГРОЗА ЖИТТЮ, ОБМЕЖЕНІ ОБСТАВИНИ, ЗГОДА 2 ЛІКАРІВ, НА ЗАПИТ,,,,,,,,,,,
#,artssubsidies,ЛЯЛЬКОВИЙ ТЕАТРИ, ЦИРКИ, НИЗЬКОБЮДЖЕТНІ ФІЛЬМИ, ТЕАТРИ, ХУДОЖНІ ГАЛЕРЕЇ, ОПЕРНИЙ ТЕАТР,,,,,,,,,,
#,corptax,50,,,,,,,,,,,,,,,
#,capgains,50,,,,,,,,,,,,,,,
#,incometax,90,,,,,,,,,,,,,,,
#,luxtax,90,,,,,,,,,,,,,,,
#,salestax,50,,,,,,,,,,,,,,,
#,junkfood,90,,,,,,,,,,,,,,,
#,tasers,ЕКСТРЕМАЛЬНІ ВИПАДКИ, РІДКІСНЕ ВИКОРИСТАННЯ, НЕЗВИЧАЙНЕ ВИКОРИСТАННЯ, ЗВИЧАЙНЕ ВИКОРИСТАННЯ, ЩОДЕННО, ПОСТІЙНО,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,dronestrikes,СПОСТЕРЕЖЕННЯ, УДАРИ ПО ІНФРАСТРУКТУРІ, ХІРУРГІЧНІ УДАРИ, ПРЕВЕНТИВНІ УДАРИ,,,,,,,,,,,,
#,electriccars,ГРОМАДСЬКИЙ ТРАНСПОРТ, ТАКСІ, ЗАБОРОНА БЕНЗИНОВИХ АВТОМОБІЛІВ,,,,,,,,,,,,,
#,floodawareness,СИСТЕМА СПОВІЩЕННЯ, СИСТЕМА ПОПЕРЕДЖЕННЯ, СИСТЕМА ПРОГНОЗУВАННЯ, СИСТЕМА ДОВГОСТРОКОВОГО ПРОГНОЗУВАННЯ,,,,,,,,,,,,
#,childpolicy,ОСВІТНЯ ПРОГРАМА, ВИНЯТКИ ДЛЯ ДРУГОЇ ДИТИНИ, ВНЕСКИ ЗА ДРУГУ ДИТИНУ, ОБОВ'ЯЗКОВА СТЕРИЛІЗАЦІЯ,,,,,,,,,,,,
#,rareearth,ДОСЛІДНИЦЬКІ ГРАНТИ, РОЗВІДУВАЛЬНІ ШАХТИ, ОБРАНІ МІСЦЯ, ШИРОКОМАСШТАБНЕ ВИДОБУВАННЯ,,,,,,,,,,,,
#,driverless,НА ПРИВАТНИХ ДІЛЯНКАХ, НА ОКРЕМИХ ВУЛИЦЯХ, У МІСЬКИХ РАЙОНАХ, НА АВТОМАГІСТРАЛЯХ,,,,,,,,,,,,
#,marsprogram,ОБСЕРВАТОРІЯ ДЛЯ ВИВЧЕННЯ МАРСУ, СУПУТНИК НАВКОЛО МАРСУ, ЗОНД НА МАРСІ, АВТОНОМНИЙ ПОСАДКОВИЙ АПАРАТ, ПІЛОТОВАНА МІСІЯ, БАЗА НА МАРСІ,,,,,,,,,,
#,research,ЛАБОРАТОРНЕ ОБЛАДНАННЯ, НАУКОВИЙ ПЕРСОНАЛ, СПОНСОРСЬКА ПРОФЕСУРА, НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ,,,,,,,,,,,,
#,retirementdisclosure,РОЗРАХУНОК ДЕРЖАВНОЇ ПЕНСІЇ, ІНДЕКСАЦІЯ ДЕРЖАВНОЇ ПЕНСІЇ, ВІДКРИТІ ІНДИВІДУАЛЬНІ ПЕНСІЙНІ РАХУНКИ, ДЕРЖАВНІ ТА ПРИВАТНІ ПЕНСІЙНІ РАХУНКИ, ІНДЕКС ДОХОДУ НА ВСЕ ЖИТТЯ,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,automatedtrading,ОБМЕЖЕННЯ ЧАСТОТИ, ЗАТРИМКИ ТОРГІВЛІ, МЕХАНІЗМ ВІДКЛЮЧЕННЯ, ЗАБОРОНА ВИСОКОЧАСТОТНОЇ ТОРГІВЛІ, ПОВНА ЗАБОРОНА,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,ban,ШТРАФИ, ОБМЕЖЕННЯ, ЗАБОРОНА,,,,,,,,,,,,,
#,cityban,ДЕЯКІ ОБМЕЖЕННЯ, ТІЛЬКИ ДЛЯ КОМЕРЦІЙНИХ ЦІЛЕЙ, ТІЛЬКИ ДЛЯ ІНВАЛІДІВ, ПОВНА ЗАБОРОНА,,,,,,,,,,,,
#,secretcourts,ТІЛЬКИ ТЕРОРИЗМ, ОРГАНІЗОВАНА ЗЛОЧИННІСТЬ, ОСОБЛИВО НЕБЕЗПЕЧНІ ЗЛОЧИНИ, ПОБУТОВІ ЗЛОЧИНИ,,,,,,,,,,,,
#,censorship,ЦЕНЗУРА ГАЗЕТ, КОНТРОЛЬ ТБ, КОНТРОЛЬ ТБ ТА РАДІО, КОНТРОЛЬ ВСІХ ЗАСОБІВ МАСОВОЇ ІНФОРМАЦІЇ,,,,,,,,,,,,
#,torturedevices,ЩОДО ЯДЕРНИХ ЗАГРОЗ, ЩОДО СЕРЙОЗНИХ ЗАГРОЗ, ЩОДО ВСІХ ЗАГРОЗ, ЩОДО НАСИЛЬНИЦЬКИХ ЗЛОЧИНІВ, ЩОДО ПОПЕРЕДЖУВАЛЬНИХ ЗАХОДІВ,,,,,,,,,,,
#,workforunemployed, ВОЛОНТЕРИ, ДОВГОСТРОКОВІ БЕЗРОБІТНІ, БІЛЬШІСТЬ БЕЗРОБІТНИХ, ВСІ БЕЗРОБІТНІ,,,,,,,,,,,,
#,taxreturns,ТІЛЬКИ ІМЕНА ТА ДАТИ, ДЕЯКІ ДАНІ, ВСІ ДАНІ,,,,,,,,,,,,,
#,foreignchurchban,ЦЕРКВИ МЕНШОСТІ ЗАБОРОНЕНІ, ВСІ ЗАБОРОНЕНІ,,,,,,,,,,,,,,
#,flagsoncorners,ГОЛОВНІ ВУЛИЦІ МІСТА, БІЛЬШІСТЬ ВУЛИЦЬ МІСТА, КОЖНА ВУЛИЦЯ,,,,,,,,,,,,,
#,nationalnewsanthems,ДЕРЖАВНІ КАНАЛИ, ВСІ КАНАЛИ, ДИКТОР СПІВАЄ!,,,,,,,,,,,,,
#,anthemsinschool,ВІК 16-18,ВІК 14-18,ВІК 10-18,ВСІ КЛАСИ,,,,,,,,,,,,
#,churchattendance,ПОПЕРЕДЖЕННЯ ПРО НЕВІДВІДУВАННЯ, ШТРАФИ ЗА НЕВІДВІДУВАННЯ, ТЮРЕМНЕ УВ'ЯЗНЕННЯ ЗА НЕВІДВІДУВАННЯ,,,,,,,,,,,,,
#,religiousoath,ДЛЯ ВІЙСЬКОВИХ, ДЛЯ ПОЛІТИКІВ, ДЛЯ ДЕРЖАВНИХ СЛУЖБОВЦІВ, ДЛЯ ВСІХ ГРОМАДЯН,,,,,,,,,,,,
#,religiousbroadcasts,STATE OWNED CHANNEL,SUPPORT FOR ALL CHANNELS,DEDICATED CHANNELS,,,,,,,,,,,,,
#,bandivorce,ВИМОГА 2-РІЧНОГО РОЗЛУЧЕННЯ, ТІЛЬКИ У ВИПАДКУ НЕБЕЗПЕЧНОГО ЧОЛОВІКА, ПОВНА ЗАБОРОНА,,,,,,,,,,,,,
#,banhomosexuality,ЗАБОРОНА ПРОПАГАНДИ, ЗАБОРОНА ПУБЛІЧНИХ ВИХОДІВ, КАРАЄТЬСЯ ТЮРЕМНИМ УВ'ЯЗНЕННЯМ,,,,,,,,,,,,,
#,ceopay,100x СЕРЕДНЯ З/П,50x СЕРЕДНЯ З/П,20x СЕРЕДНЯ З/П,10x СЕРЕДНЯ З/П,5x СЕРЕДНЯ З/П,,,,,,,,,,,
#,unionban,ПОТРІБНО ГОЛОСУВАТИ, РІШЕННЯ КОМПАНІЙ, ПОВНА ЗАБОРОНА,,,,,,,,,,,,,
#,closeairports,ВАНТАЖні, ВНУТРІШНІ, МІЖНАРОДНі, ДАЛЬНІ, ВСІ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,righttodie,В ЕКСТРЕМАЛЬНИХ ОБСТАВИНАХ, УГОДА КІЛЬКОХ ЛІКАРІВ, УГОДА ОДНОГО ЛІКАРЯ, УГОДА СІМ'Ї, ЗА БАЖАННЯМ,,,,,,,,,,,
#,righttoprivacy,ДЕЯКІ ОБМЕЖЕННЯ, СУТТЄВІ ОБМЕЖЕННЯ, ПОВНА ЗАБОРОНА ВІДСТЕЖЕННЯ,,,,,,,,,,,,,
#,gendertransition,ДОГОВІР З ЛІКАРЯМИ ПЛЮС ВІКОВІ ОБМЕЖЕННЯ, ДОГОВІР З ЛІКАРЯМИ, ЗА БАЖАННЯМ, СУБСИДІЮЄТЬСЯ ДЕРЖАВОЮ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,reforestation,1 МІЛЬЙОНІВ/РІК,20 МІЛЬЙОНІВ/РІК,40 МІЛЬЙОНІВ/РІК,60 МІЛЬЙОНІВ/РІК,80 МІЛЬЙОНІВ/РІК,100 МІЛЬЙОНІВ/РІК,,,,,,,,,,
#,prisonregime,МʼЯКИЙ, ЗБАЛАНСОВАНИЙ, ЖОРСТКИЙ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,termlength,3 Роки,4 Роки,5 Роки,6 Роки,7 Роки,,,,,,,,,,,
#,termlimit,2,3,4,5,НЕМА,,,,,,,,,,,
#,gamehunting,НЕРЕГУЛЬОВАНІ, ЛІЦЕНЗОВАНІ, ОБМЕЖЕНІ ВИПЛАТИ, ЗАБОРОНЕНІ,,,,,,,,,,,,
#,languages,ІНОЗЕМНА ДІЛОВА МОВА, БАГАТО ІНОЗЕМНИХ МОВ,,,,,,,,,,,,,,
#,fgmban,ЗАБОРОНЕНО ДЛЯ ЖІНОК, ЗАБОРОНЕНО (ЧОЛОВІКАМ І ЖІНКАМ), ВЕЛИКІ ШТРАФИ, ТЮРЕМНЕ УВ'ЯЗНЕННЯ,,,,,,,,,,,,
#,genderact,ПРАВОВА РІВНІСТЬ, ПОЗИТИВНІ ДІЇ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,selectiveschooling,НЕМА СЕЛЕКТИВНОГО НАВЧАННЯ, ОКРЕМІ КЛАСИ, НЕЙТРАЛЬНІ, СПЕЦІАЛІЗОВАНІ ШКОЛИ, СУБСИДІЮВАННЯ КРАЩИХ ШКІЛ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,monorail,МОНОРЕЛЬСА (140 КМ/Г),ВИСОКОШВИДКІСНІ ЗАЛІЗНИЦІ (160 КМ/Г), НАДШВИДКІСНІ ПОЇЗДИ (260 КМ/Г), ПОЇЗДИ MAGLEV (320 КМ/Г), HYPERLOOP (550 КМ/Г),,,,,,,,,,,
#,nuclearfission,ВИВЕДЕННЯ З ЕКСПЛУАТАЦІЇ ІСНУЮЧИХ ОБ'ЄКТІВ, ВИВЕДЕННЯ З ЕКСПЛУАТАЦІЇ В КІНЦІ ТЕРМІНУ ЕКСПЛУАТАЦІЇ, ПРОДОВЖЕННЯ ТЕРМІНУ ЕКСПЛУАТАЦІЇ, РОЗШИРЕННЯ, ШИРОКОМАСШТАБНЕ РОЗШИРЕННЯ, СУБСИДІЇ, ЩЕДРІ СУБСИДІЇ,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,retirement,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
,,,,,,,,,,,,,,,,,
#,citizenshipforsale,СУПЕРБАГАТІ,БАГАТІ,ВЕРХНІЙ СЕРЕДНІЙ КЛАС,СЕРЕДНІЙ КЛАС,,,,,,,,,,,,
#,immigrationrules,ВЕЛИКІ ОБМЕЖЕННЯ, КВАЛІФІКОВАНІ ТА РІДНА МОВА, КВАЛІФІКОВАНІ, З ПРОПОЗИЦІЄЮ РОБОТИ, ВІДКРИТІ КОРДОНИ,,,,,,,,,,,
#,refugeepolicy,ПОВНА ЗАБОРОНА, ТІЛЬКИ З ВІЙСЬКОВИХ ЗОН, З ВІЙСЬКОВИХ ЗОН ТА КАТАСТРОФ, ВІД ПЕРЕСЛІДУВАНЬ, БЕЗ ПЕРЕВІРОК,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,competitionlaw,В ІНТЕРЕСАХ ВЕЛИКОГО БІЗНЕСУ, ЗБАЛАНСОВАНО, В ІНТЕРЕСАХ МАЛОГО БІЗНЕСА,,,,,,,,,,,,,
