token,name,title,text
,,,
***Misc,,,
#,Welcome,Ласкаво просимо!,"Ласкаво просимо до Democracy 4! Ви щойно розпочали свій перший термін на посаді <PRESIDENT>, і як ваш керівник апарату, я тут, щоб пояснити, як все працює. Іконки нижче показують кілька ключових показників стану нашої країни. Сподіваємося, ви зможете змінити ситуацію на краще і бути переобраним після закінчення терміну повноважень! Натисніть кнопку у вікні нижче (з написом «Почати термін повноважень»), щоб розпочати управління..."
#,MainScreen,Головний екран,"Звідси ви можете ознайомитися з поточним станом нашої країни. Це може здатися складним, але всі різні компоненти працюють дуже схожим чином. Піктограми представляють різні об'єкти в економіці або суспільстві, включаючи політику, закони, групи виборців та цінності для важливих понять, таких як рівень здоров'я та освіти наших громадян. Натисніть кнопку «Далі»."
#,VoterStrips,Виборці,"Ці смуги зліва на екрані представляють групи виборців, а кольорові смуги прогресу показують, наскільки вони задоволені вашим урядом. Більш світла область за текстом показує відсоток наших виборців, які входять до кожної з цих груп. Однією з ключових концепцій Democracy 4 є розуміння того, що окремі виборці можуть бути членами багатьох різних груп виборців одночасно, і ступінь їхньої ідентифікації з цими групами сам по собі є змінним. Ви ніколи не зможете отримати повну підтримку *всіх* цих груп виборців, оскільки деякі з них є протилежними!"
#,PolicyIcons,Політичні рішення,"Білі іконки — це політичні заходи. Ви починаєте гру з деякими вже впровадженими заходами, але більшість з них можна скасувати, а також додати багато нових. Їх також можна коригувати. Політичні заходи — це основний метод, який ви використовуєте для управління країною."
#,SimIcons,Показники,"Сині іконки відображають статистичні дані, що стосуються вашої країни. Вони стосуються таких абстрактних понять, як ВВП (валовий внутрішній продукт — сила економіки), рівень злочинності або рівень освіти ваших громадян. Ви можете впливати на статистичні дані лише опосередковано, через політичні рішення. Як і інші іконки, ви знайдете їх у різних «зонах» екрана залежно від того, яку частину економіки/суспільства вони представляють (транспорт, податки тощо)."
#,SitIcons,Ситуації,"Іконки з червоним або зеленим фоном позначають ситуації. Це поточні події, що відбуваються у вашій країні і можуть бути позитивними (зелений колір) або негативними (червоний колір). Ви можете сприяти позитивним ситуаціям та запобігати або виправляти негативні за допомогою своїх політичних рішень."
#,Connections,Звʼязки,"Політики, показники та ситуації взаємопов'язані через «ефекти». Наведіть курсор миші на будь-яку з іконок, щоб побачити, як між ними відбувається вплив: зелений колір означає позитивний ефект, а червоний — негативний. Швидкість впливу також показує силу ефекту. Поекспериментуйте з цим, а потім натисніть «далі»."
#,VoterType,Виборці!,Давайте розглянемо конкретну групу виборців і дізнаємося про них більше. Клацніть на смужку виборців із середнім рівнем доходу.
#,VoterType2,Типи виборців,"У цьому вікні відображається детальна інформація про конкретну групу виборців. Кожна група виборців має власні думки та пріоритети, і кожна подія чи політика по-різному впливатиме на кожну групу. На діаграмі наразі відображається думка цих виборців у динаміці, або ви можете вибрати їхній дохід чи приналежність до групи у динаміці."
#,VoterType3,Вхідні дані,"У цій області показано перелік різних «впливів» на цю групу виборців та те, як вони впливають на настрої групи. Зелені впливи є хорошими та позитивними, червоні впливи є поганими та негативними. Ці впливи можуть змінюватися з часом у міру зміни політики, ситуації або цінностей. Сума всіх цих впливів визначає настрої групи."
#,VoterType4,Деталізація,"Ви можете натиснути на окремий ефект, щоб швидко перейти до додаткової інформації про цей елемент. Наприклад, натисніть на ефект, що показує вплив податку на доходи на наших виборців із середнього класу."
#,IncomeTax1,Податок на прибуток,"І ось ми на екрані деталей податку на прибуток! Ви можете зробити це для майже будь-якого ефекту між двома елементами. Податок на прибуток є політикою (білі іконки), і цей екран показує вам ефекти, які має ця політика."
#,PolicySlider,Політичний повзунок,"Цей повзунок використовується для управління цією конкретною політикою. Ви можете використовувати його для збільшення або зменшення податку на доходи, що змінить його вплив на всі пов'язані елементи, такі як групи виборців, ситуації та статистичні дані. Експериментуйте з повзунком, а потім натисніть «далі»."
#,PolicySlider2,Політичний повзунок,"Ви, мабуть, помітили, що ефекти показують два різних значення, коли ви переміщуєте повзунок: поточний (більш темний) ефект і ефект у новому положенні повзунка. Значення будуть переміщатися з поточного положення до нового з часом, виходячи з  часу інерції (у кількості обертів) у крайньому правому куті кожного ефекту. Якщо це значення дорівнює нулю, ефект досягне нового рівня на початку наступного оберту."
#,RevertChanges,Скасувати зміни,"Давайте поки що залишити все як є. Натисніть кнопку «Скасувати зміни», щоб вказати, що ми хочемо залишити цю політику без змін, незважаючи на те, що ми налаштували повзунок."
#,QuitPolicy,Вийти з екрану політичних рішень,"Гаразд, досить дивитися на податок на прибуток, натисніть кнопку закриття у верхньому правому куті і повернімося до головного екрану."
#,Situations,Ситуації,"Час ознайомитися з однією із ситуацій, які наразі впливають на нашу країну. Клацніть на будь-яку піктограму ситуації, про яку ви хочете отримати більше інформації."
#,Situations2,Ситуації,"Тут відображається інформація про вибрану ситуацію. Як бачите, ситуації мають як причини (зліва), так і наслідки. Тут ви нічого не можете змінити, ви можете лише переглянути різні наслідки. Ситуації можна завершити, якщо достатньо зменшити силу причин."
#,Situations3,Тригери та графіки,"Діаграма у верхній частині цього екрана показує інформацію про фактичну силу цієї ситуації з плином часу та два тригери. Вищий тригер — це значення, яке фактично запускає цю ситуацію. Нижній тригер деактивує ситуацію. Як результат, запустити ситуацію простіше, ніж її закінчити."
#,Situations4,Ситуації,"Давайте вийдемо з цієї ситуації і перейдемо до інших даних. Натисніть кнопку «Закрити»."
#,Simvalue,Статистика,"Давайте розглянемо останній тип піктограм — статистичні дані. Клацніть на будь-яку з синіх піктограм."
#,Simvalue2,Статистика,"На цьому екрані відображається інформація про національну статистику. Як і будь-яка ситуація, вона має свої причини та наслідки.  Слід пам'ятати, що деякі статистичні показники є позитивними і ми прагнемо, щоб вони були високими (наприклад, рівень здоров'я), а інші є негативними і ми прагнемо, щоб вони були низькими (наприклад, рівень злочинності)."
#,Simvalue3,Статистика,"Тут ми нічого не можемо змінити, тому натиснімо кнопку «Закрити» і повернімося до головного екрана."
#,PoliticalCapital,Політичний капітал,"Зверніть увагу на це значення в центральній іконці. Це «політичний капітал», який відображає рівень підтримки, який має ваш уряд для виконання своїх завдань. Ви маєте обмежену кількість політичного капіталу на хід (кожен хід дорівнює чверті року). Коли він закінчується, вам потрібно закінчити хід, щоб отримати більше. Частина політичного капіталу може бути перенесена на наступний хід, але не весь. Клацніть на іконку, щоб дізнатися більше."
#,PoliticalCapital2,Політичний капітал,"Політичний капітал використовується, коли ви коригуєте політику, скасовуєте її або вводите нову. Різні політики вимагають різних сум, залежно від того, наскільки вони суперечливі. Капітал генерується міністрами, вашою популярністю та тим, наскільки переконливо ви виграли попередні вибори."
#,PoliticalCapital3,Політичний капітал,"Повернемося до головного екрану. Закрийте вікно політичного капіталу на даний момент."
#,NewPolicy1,Нововведення,"Гаразд, час дізнатися, як створити нову політику. Натисніть кнопку «Нова політика»."
#,NewPolicy2,Нововведення,"Це нові політики, які радники підготували для вас на вибір. Політики розділені на категорії, які відображаються у вигляді вкладок зліва. Деталі вибраної політики відображаються праворуч. Ті, що позначені червоним кольором, наразі не можуть бути реалізовані через брак політичного капіталу. Виберіть політику, а потім натисніть кнопку «Реалізувати»."
#,NewPolicy3,Нововведення,"Це нова політика, яку ви вирішили впровадити. Ви можете безкоштовно налаштувати повзунок на нових політиках (не витрачаючи політичний капітал). Майте на увазі, що впровадження деяких політик займає час, а це означає, що пройде деякий час, перш ніж вони почнуть повноцінно діяти. А зараз повернемося до головного екрану. Натисніть кнопку закриття у верхньому правому куті."
#,NextTurn,Наступний хід,"Є ще багато чого подивитися, але до цього ми повернемося пізніше. Коли ви закінчите те, що можете або хочете зробити за квартал, настав час закінчити хід. Натисніть кнопку «Закінчити хід» у правому верхньому куті екрана."
,,,
#,Report,Звіт,"Це квартальний звіт. У ньому висвітлюються деякі ключові показники, що впливають на поточний стан країни. Крім того, там може бути інша інформація, про яку вам слід знати. У цьому кварталі можуть виникнути термінові проблеми, які потребують вашої уваги. У будь-якому разі... Я бачу, що у вас багато справ, тож дам вам можливість взятися до роботи. Я впевнений, що уряд зараз у надійних руках."
,,,
#,Expenses,Витрати,"Ця діаграма показує розподіл державних витрат. Ви можете натиснути на окремі позиції, щоб отримати більш детальну інформацію. Зверніть увагу, що вартість багатьох позицій буде змінюватися з часом, залежно від різних факторів."
,,,
#,Income,Дохід,"Ця діаграма показує розподіл доходів або надходжень уряду. Якщо доходи менші за витрати, дефіцит буде покриватися за рахунок державних запозичень. Це може бути прийнятним у короткостроковій перспективі, але запозичення збільшують державний борг. Усі борги потребують сплати відсотків. Ви можете натиснути на будь-який пункт, щоб переглянути детальнішу інформацію."
,,,
#,Charts,Діаграми,"На екрані діаграм відображається низка важливих показників розвитку вашої економіки в динаміці. Світова економіка впливатиме на ваш ВВП. Завжди слід стежити за рівнем боргу, оскільки, коли він стає занадто високим, ринок облігацій може занепокоїтися і встановити вищі процентні ставки, що може призвести до боргової спіралі."
,,,
