,name,guiname,plural,desc
#,Socialist,Соціалісти,соціалісти,"Соціалісти вірять у перерозподіл багатства від багатих до бідних, щоб протидіяти нерівності, яка може виникнути на вільному ринку. Велика держава, що фінансується за рахунок податків, надає всім необхідні послуги, такі як охорона здоров'я, освіта, житло та громадський транспорт. В основному, соціалісти вірять у принцип «кожному за потребами, від кожного за можливостями»."
#,Capitalist,Капіталісти,капіталісти,"Капіталісти вірять у «невидиму руку» вільного ринку як найефективніший і найсправедливіший спосіб розподілу ресурсів. Основний принцип полягає в тому, що люди мають право отримувати прибуток від своєї праці, а держава не повинна втручатися в діяльність приватних підприємств. Державне втручання, таке як державна охорона здоров'я, розглядається як спотворення ринку, яке фактично забирає доходи працьовитих людей і передає їх тим, хто цього не заслуговує."
#,Retired,Пенсіонери,пенсіонери,"Пенсіонери та літні люди, які, можливо, ще працюють, є потужною політичною силою. Явка на виборах, як правило, вища, і вони мають час для активної участі в політичних кампаніях. Звісно, вони більше за пересічних громадян переймаються питаннями охорони здоров'я, а також чутливі до змін у пенсійному забезпеченні, оскільки в багатьох випадках це їхнє єдине джерело доходу."
#,Commuter,Пасажири,пасажири,"До числа пасажирів належать усі, хто доїжджає на роботу з певної відстані, незалежно від того, чи це автомобілем, поїздом, автобусом, монорейкою чи трамваєм. Для пасажирів транспортні витрати та затори на дорогах є актуальними політичними питаннями. Пасажири, які проводять багато часу в заторах або не можуть дістатися до роботи через страйки, матимуть достатньо часу, щоб висловити свої думки політикам."
#,Patriot,Патріоти,патріоти,"Патріотизм часто цинічно використовується як політичний інструмент під час виборів, але для деяких виборців патріотизм є основною складовою їхньої національної ідентичності. Патріоти є рішучими прихильниками чіткої національної ідентичності, сильної військової оборони країни та міцних кордонів."
#,Motorist,Автомобілісти,автомобілісти,"Ступінь, в якому виборець вважає себе автомобілістом, може варіюватися від затятих автолюбителів до тих, хто лише зрідка користується невеликим «міським автомобілем». Однак на всіх, хто керує автомобілем, так чи інакше впливають податки на транспортні засоби, плата за користування дорогами, податки на пальне, затори та будь-які стимули або субсидії щодо видів пального. Як результат, автомобілісти можуть бути важливою групою під час виборів."
#,Liberal,Ліберали,ліберали,"Складна група для визначення. У деяких країнах лібералізм плутають із соціалізмом, але справжній лібералізм — це віра в особисту свободу та незалежність, яка перетинається з поглядами низки інших груп виборців. Ліберали категорично проти державного нагляду і підтримують принцип поваги до індивідуального вибору в питаннях, що стосуються сексуальності, володіння зброєю та вживання рекреаційних наркотиків."
#,Religious,Віруючі,релігійні виборці,"Релігійні погляди та сила переконань, очевидно, сильно різняться, але загалом релігійні виборці позитивно ставляться до релігійних шкіл та релігійної освіти і підтримують закони, що зберігають святість релігійних свят або захищають церкву від блюзнірства. Як правило, релігійні виборці негативно ставляться до абортів та досліджень стовбурових клітин. Загалом релігійні погляди більш популярні в менш розвинених країнах."
#,TradeUnionist,Члени профспілки,профспілкові активісти,"Члени профспілок дуже переймаються правами працівників великих організацій і борються за підвищення заробітної плати, скорочення робочого часу та розширення прав на робочому місці. Членство в профспілці може сприяти більшій підтримці страйків. Низька заробітна плата, високий рівень безробіття та відсутність соціального забезпечення можуть бути факторами, що спонукають працівників вступати до профспілок."
#,SelfEmployed,Самозайняті,самозайняті,"До самозайнятих осіб також належать люди, які ведуть малий бізнес, наприклад, сантехніки та електрики. Підприємці та власники малого бізнесу виступають проти надмірного державного регулювання та прав працівників, оскільки це пов'язано з бюрократичними витратами. Вони також відчувають на собі вплив податків на продаж або приріст капіталу, які виникають у зв'язку з володінням власним бізнесом."
#,Environmentalist,Екоактивісти,екоактивісти,"Екологи можуть приєднатися до будь-якої політичної сили, але їх об'єднує турбота про забруднення навколишнього середовища, зміну клімату та права тварин. Існує широкий спектр політик, які можуть вирішити ці проблеми, але екологи більше стурбовані результатом, ніж методами. Забруднення навколишнього середовища та екстремальні погодні явища спонукатимуть все більше громадян приєднуватися до екологічних рухів."
#,Wealthy,Багатії,багатії,"Незалежно від того, чи їхнє багатство є результатом особистих зусиль чи спадщини, ця група представляє виборців, які найбільше втрачають від податків на багатство та доходи або податків на розкішні витрати. Багаті люди більш мобільні, ніж будь-яка інша соціальна група, тому їх важко ефективно оподатковувати. Також слід зазначити, що люди із середнім рівнем доходів прагнуть досягти багатства і, як правило, прагнуть не платити податки, коли це відбувається."
#,Poor,Бідні,малозабезпечені,"Ті члени суспільства, які перебувають у скрутному економічному становищі, природно більше залежать від соціальних виплат від держави і виявляють великий інтерес до нерівності та будь-яких заходів, що передбачають перерозподіл коштів від 1 % найбагатших до решти населення. Залежно від рівня заробітної плати, до цієї групи може входити велика або невелика кількість безробітних."
#,MiddleIncome,Середній клас,представники середнього доходу,"Традиційно це велика частина населення, але вона може скоротитися, якщо зросте нерівність. Середній клас, як правило, є політично поміркованим, має роботу, володіє автомобілем, щороку їздить у відпустку і прагне придбати власне житло. Середній клас має інтереси в суспільстві, які він не хоче втратити через громадянські заворушення чи злочинність, що часто призводить до поміркованих поглядів."
#,Parents,Батьки,батьки,"Ступінь, в якому виборці вважають себе насамперед батьками, буде залежати від того, скільки дітей вони мають і наскільки вони молоді. Ті, хто має великі молоді сім'ї, будуть надзвичайно чутливі до таких питань, як забезпечення догляду за дітьми або його доступність, а також вартість і якість освіти. Безпека в школі та транспорт до школи також є важливими питаннями."
#,Farmers,Фермери,фермери,"Не тільки власне фермери, а й люди, зайняті в суміжних галузях та сільських громадах. Пріоритети сільських виборців часто відрізняються від пріоритетів жителів столиць, і будь-які податки (або, частіше, субсидії), що стосуються сільського господарства, стануть для них важливим питанням. Тенденція до надмірного регулювання виробництва продуктів харчування, ймовірно, буде непопулярною серед цієї групи."
#,StateEmployees,Державні службовці,державні службовці,"До цієї групи належать усі, хто працює в державній промисловості або сфері послуг, незалежно від того, чи відчувають вони сильну приналежність до неї. Сюди входять державні працівники сфери охорони здоров'я та освіти, а також часто поліція, військові та працівники місцевих органів влади. Ніхто не реагує на скорочення державних витрат так гостро, як ті виборці, на чиї зарплати та перспективи працевлаштування такі скорочення безпосередньо впливають."
#,Conservatives,Консерватори,консерватори,"Консерватори, які є повною протилежністю лібералів, є великими прихильниками того, що зазвичай вважається «сімейними» або «традиційними» цінностями. Ця група, ймовірно, виступатиме проти лібералізації наркополітики та буде обурена сексуальними скандалами чи проступками. Консерватори не схвалюють політику ідентичності, одностатеві шлюби, невірність чи легалізацію проституції."
#,Young,Молодь,молоді люди,"Достатньо дорослі, щоб голосувати, але достатньо молоді, щоб ще навчатися або мати свіжі спогади про навчання. Звісно, молоді люди більше зосереджені на освіті, ніж на пенсійному віці чи виході на пенсію. У деяких випадках вони ще можуть виплачувати борги, які виникли через оплату навчання. Більш політично активні, ніж люди середнього віку."
#,EthnicMinorities,Етнічні меншини,етнічні меншини,"У деяких країнах меншиною є чорношкірі, в інших – білошкірі, в третіх – корінні жителі. Етнічні меншини, очевидно, дуже стурбовані расизмом у суспільстві, а також імміграційною політикою, яка може розглядатися як дискримінаційна. Вони також можуть мати чітку позицію щодо міжнародних відносин, враховуючи наявність родичів за кордоном."
